Timestamp,What is your age group,What is your gender?,Employment status?,What is your education level?,How many times did you test positive for COVID-19 during the pandemic?,"If you had COVID, how did the fact that you became ill impact your job?",How many vaccinations did you receive?,How would you rank the government's public support during Covid (1  to 5 = very satisfied) [Finance (Support)],How would you rank the government's public support during Covid (1  to 5 = very satisfied) [medical(vaccines)],How would you rank the government's public support during Covid (1  to 5 = very satisfied) [Public safety (social distancing)],How effective did you find the lockdown in Singapore? (rank 1 Least to 5 Most),How would you rate the usability of the Tracetogether app?,How frequently did you use the TraceTogether app or Token to check into venues in Singapore?,Did the TraceTogether app help you to maintain social distancing during the pandemic? ,Did the TraceTogether app help reduce the spread of COVID-19?,Did the government provide enough information about the TraceTogether app and its benefits?,Did the TraceTogether app enhance your sense of participation and engagement in the fight against COVID-19?,Did the TraceTogether app help you to feel more connected with other citizens during the pandemic?,Did the TraceTogether app help you to feel more connected with the government during the pandemic?,Do you think the TraceTogether app contributed to a safer environment for citizens during the pandemic?,Do you think the government should invest in more smart city technologies like the TraceTogether app in the future?,Should the government involve citizens more in developing and implementing smart city technologies in the future?,What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [Citizens' participation],What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [Public-private partnership],What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [Improved lifestyle],What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [Better healthcare],What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [Improved public transport],What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [Better education opportunities],What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [More job availability],What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [Other],"If you selected ""Other"", can you describe here?","Some cities have direct reporting or claim service for citizens. Other have social media channels where citizens can share opinions. There may be projects where groups or neighbourhoods are included in innovation, or even startups given opportunities to launch solutions through the city platform and support.

How would you prefer citizens' participation to be offered in your city?",What are the most effective ways to involve citizens in developing smart city projects? [rank 1 Least - 5 Most] [Survey],What are the most effective ways to involve citizens in developing smart city projects? [rank 1 Least - 5 Most] [City living labs],What are the most effective ways to involve citizens in developing smart city projects? [rank 1 Least - 5 Most] [Interviews],What are the most effective ways to involve citizens in developing smart city projects? [rank 1 Least - 5 Most] [feedback and report solutions],What are the most effective ways to involve citizens in developing smart city projects? [rank 1 Least - 5 Most] [inclusion with incentives],What are the most effective ways to involve citizens in developing smart city projects? [rank 1 Least - 5 Most] [others],How important is the government to involve citizens in developing smart city projects? [1 Least - 5 Most],How would you rate the effectiveness of the government in involving citizens in developing smart city projects? [1 Least - 5 Most],What factors influence citizens' willingness to participate in smart city projects? [enter] ,How are you communicating or giving feedback to the local government?,"How satisfied are you with the responses from the local government, from your feedback or inquiries? [1 Least - 5 Most]",What recommendations do you have for improving citizens' participation in smart city projects in Singapore? [enter] 
3/9/2023 20:33:13,45-54,Female,Out of work and looking for work,Bachelor’s degree,1,(4) No impact,4,3,3,3,3,3,every day,Maybe,Maybe,Yes,Yes,Maybe,Maybe,Maybe,Yes,Strongly agree,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,3,,Not sure,5 Most,5 Most,5 Most,5 Most,5 Most,3,5,5,Incentives ,,,Roadshows to create awareness
3/9/2023 20:50:21,45-54,Male,Employed full time,Master’s degree,0,(4) No impact,3,1 Not at all satisfied,4,2,2,3,every day,No,No,No,No,No,No,No,No,Strongly agree,3,2,3,3,3,3,3,1 Least,There's no option for NA,Incentives like cashback or free healthcare ,3,4,3,3,3,1 Least,4,1,Lower price or easier life than status quo,,,Handling citizens data is dismal level with no respect to individual citizens privacy rights. Include foreigners in to the process to take it to next level 
3/11/2023 11:39:34,35-44,Male,Employed full time,Master’s degree,2,(4) No impact,3,3,Very satisfied,Very satisfied,5,5,every day,Maybe,Yes,Yes,Yes,Maybe,Yes,Yes,Yes,Strongly agree,5 Most,4,5 Most,5 Most,5 Most,4,5 Most,5 Most,Overall better social Bering ,"This question is not clear. If it gives some examples, that’s would be great ",4,5 Most,4,4,5 Most,4,5,5,Educating the public on the benefits ,Government issues app,4,Run campaign about the benefits of participating in smart city projects 
3/18/2023 19:18:18,45-54,Male,Employed full time,Bachelor’s degree,2,(4) No impact,3,1 Not applicable,3,3,3,5,every day,Maybe,Maybe,Yes,Yes,No,No,Yes,Yes,Strongly agree,3,3,3,3,3,3,3,1 Least,.,Thru social media channels ,5 Most,3,3,3,3,3,3,3,.,"Government issued app, Government website",5,.
3/18/2023 19:20:37,55-64,Male,Self-employed,Master’s degree,1,(4) No impact,3,5 Very satisfied,5 Very satisfied,5 Very satisfied,4,4,once a month,No,No,Maybe,Yes,No,No,Maybe,Yes,Strongly agree,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,Improved efficiency,No opinion,5 Most,5 Most,5 Most,5 Most,5 Most,1 Least,5,4,no idea,"Social Media (Facebook, Twitter, etc)",4,no opinion
3/18/2023 19:21:22,55-64,Female,Self-employed,Master’s degree,1,(2) Reduced work,2,3,5 Very satisfied,5 Very satisfied,4,4,twice a month,Yes,Maybe,Yes,Yes,No,Yes,Yes,Yes,Strongly agree,4,4,4,4,4,4,4,4,Reduce cyber crimes which is always a growing threat with new technologies,All the above methods and with neighbourhoods including education institutions to play active role too.,5 Most,3,4,5 Most,5 Most,5 Most,1,1,"Not sure if this question is about motivation, if so. then time, efforts and incentive are the factors ","Social Media (Facebook, Twitter, etc), Government website",3,There should be more awareness created
3/18/2023 19:34:05,55-64,Female,Employed full time,"High school graduate, diploma or the equivalent (for example: GED)",1,(4) No impact,4,1 Not applicable,1 Not applicable,1 Not applicable,5,5,every day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Neutral,2,2,2,2,2,2,2,2,Nil,No comments ,2,2,2,2,2,2,3,3,No comments ,Government issued app,3,No comments 
3/18/2023 19:39:28,35-44,Male,Employed full time,Bachelor’s degree,2,(4) No impact,4,4,5 Very satisfied,5 Very satisfied,4,4,every day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly agree,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,Support g9vt project,Very liked,5 Most,5 Most,5 Most,5 Most,5 Most,2,5,5,Most important to be involved,"Social Media (Facebook, Twitter, etc), Local community center (local MP)",5,Help and unite one another
3/18/2023 19:41:25,45-54,Male,Employed full time,Bachelor’s degree,0,(4) No impact,3,2 Not satisfied,2 Not satisfied,2 Not satisfied,1,5,every day,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Strongly agree,4,4,4,4,4,4,4,1 Least,,Online polls,5 Most,5 Most,5 Most,5 Most,5 Most,1 Least,5,5,Anonymity ,Email to relevant ministry ,3,Politicians should stay connected to people on the ground.
3/18/2023 19:42:11,65-74,Female,Self-employed,Master’s degree,1,(4) No impact,4,3,3,3,4,4,more than twice a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,3,3,3,3,3,3,3,3,To assist for betterment of everyone,By allowing citizens to give their opinion. ,3,3,4,4,4,2,4,4,By understanding its usefulness.,"Government issued app, Local community center (local MP)",3,By issuing questionnaire. 
